question,expected_answer,relevant_pose_ids
What pose is great for improving balance and focus?,Tree Pose and Warrior Pose I are both great for improving balance and focus.,"2,6"
What are the benefits of Cobra Pose?,"Cobra Pose strengthens the back muscles, opens the chest, and improves flexibility in the shoulders and upper back. It also helps to relieve stress and anxiety.",4
Can you give me some standing poses that are good for beginners?,"Mountain Pose, Downward-Facing Dog, and Warrior Pose I are all standing poses that are suitable for beginners.","1,3,6"
How do I do a Cat-Cow Pose?,"Start on your hands and knees, then as you inhale, arch your back and lift your head and tailbone towards the ceiling. As you exhale, round your back and tuck your chin to your chest.",5
What poses should I avoid if I have a recent back injury?,"Avoid Cobra Pose, Seated Spinal Twist, and Bridge Pose if you have a recent back injury. Also, be cautious with Triangle Pose and modify as needed.","4,8,9,7"
Which beginner-friendly pose is great for opening the chest and shoulders?,"Sphinx Pose strengthens the back muscles, opens the chest and shoulders, and can help improve flexibility and posture.",12
I have sciatica pain. Are there any poses that can help alleviate it?,"Yes, try Pigeon Pose, Seated Forward Fold With Legs Wide, Seated Leg Stretch, or Seated Head to Knee Pose. These poses can help alleviate sciatica pain and tension in the hips and glutes.","11,14,15,18"
What are the benefits of practicing Warrior Pose II?,"Warrior Pose II strengthens the legs, hips, and core, while stretching the chest and shoulders. It also improves balance, focus, and concentration, and can help boost confidence and energy levels.",17
"How do I practice Seated Leg Stretch, also known as Akarna Dhanurasana?","Sit on the floor with your legs straight out in front of you, then bend your right knee and place your right foot on the inside of your left thigh. Lengthen your spine, inhale, and reach forward.",15
Are there any contraindications for practicing Side Angle Pose?,"Avoid this pose if you have any neck or shoulder injuries, or if you experience discomfort in your knees or ankles. It's also recommended to approach with caution if you have high blood pressure or are pregnant.",16
Which balancing poses are suitable for intermediate practitioners?,"There are several balancing poses suitable for intermediate practitioners, including Side Plank Pose, One-Handed Tree Pose, Peacock Pose, and Crow Pose.","31,32,33,34"
What are the benefits of practicing King Pigeon Pose?,"King Pigeon Pose offers numerous physical benefits, including a deep stretch in the chest, shoulders, and hips, while also strengthening the back muscles and improving flexibility in the spine. It can also help improve balance and concentration. Mentally, it can promote feelings of confidence, courage, and inner strength.",35
How do I modify Crow Pose if I'm a beginner?,"For a modified version of Crow Pose, try lifting only one leg off the ground at a time, or using a block or strap under your feet for support.",34
Which forward fold poses are contraindicated during pregnancy or menstruation?,Eka Pada Uddiyana Bandha is contraindicated during pregnancy or menstruation.,36
What are the benefits of practicing Astavakrasana?,"Astavakrasana strengthens the arms, shoulders, and core, while also stretching the chest and shoulders. It can help improve balance, flexibility, and overall spinal health. Mentally, it cultivates focus and concentration.",39
Which twists can help calm the mind and promote relaxation?,"Parivrtta Janu Sirsasana, Supta Matsyendrasana, and Baddha Matsyendrasana can help calm the mind and promote relaxation.","41,44,43"
What are the benefits of practicing Chandra Bhedana?,"Chandra Bhedana offers benefits such as stimulating the nervous system, improving respiratory function, and calming the mind.",46
What advanced balancing poses can help improve focus and concentration?,"Titibhasana II, Eka Pada Bakasana, and Bakasana II can help improve focus and concentration.","47,48,50"
How do I practice Ganda Bherundasana?,"Start in a seated position with the legs extended in front of you, then bend the knees and place the feet flat on the ground. Interlace the fingers and place the hands behind the knees.",45
Are there any contraindications for practicing Bhairavasana?,"Bhairavasana should be avoided by individuals with severe spinal injuries, herniated discs, or osteoporosis, as well as pregnant women.",42
What modifications can I use to make Astavakrasana II more accessible?,"To modify Astavakrasana II, use blocks or a strap to support the hands or feet, or practice the pose with the knees bent and the feet on the ground.",49
How does Parivrtta Janu Sirsasana differ from Supta Matsyendrasana?,"Parivrtta Janu Sirsasana is a seated twist, while Supta Matsyendrasana is a reclined twist.","41,44"
What are some common benefits of practicing twist poses?,"Twist poses can help improve flexibility, balance, and focus, while also alleviating stress and anxiety.","41,42,43,44,45,49"
Can I practice Eka Pada Bakasana if I have high blood pressure?,"It is recommended to approach Eka Pada Bakasana with caution if you have high blood pressure, and to modify the pose as needed.",48
Which yoga pose calms the nervous system and relieves stress by releasing tension in the neck and shoulders?,"Hala Asana, or Plow Pose, can help calm the nervous system and relieve stress by releasing tension in the neck and shoulders.",54
What are the benefits of practicing Parsva Bakasana?,"Parsva Bakasana physically strengthens the arms, shoulders, and core, while also improving balance and focus. It also cultivates concentration, confidence, and a sense of grounding.",51
Can you list all the balancing poses in the data?,The balancing poses in the data are Parsva Bakasana and Lolasana.,"51,53"
