id,pose_name,sanskrit_name,category,difficulty_level,benefits,contraindications,breathing_pattern,duration_or_reps,modifications,instructions
1,Mountain Pose,Tadasana,standing,beginner,"Mountain Pose (Tadasana) improves posture, balance, and core strength while promoting a sense of grounding and calmness. It also establishes good alignment and prepares the body for other standing poses. Regular practice can also boost confidence and reduce stress.","Avoid Mountain Pose if you have severe ankle or knee injuries, or if you experience dizziness or lightheadedness while standing. Pregnant women should modify the pose to avoid putting too much pressure on their lower back.",Inhale: Lengthen the spine and feel the chest expanding. Exhale: Engage the core and feel grounded through the feet.,"Hold the pose for 3-5 breaths, or use it as a transitional pose between other standing poses.","For those with ankle or knee issues, practice the pose with a wider stance or use a block under the hands for support. Pregnant women can practice with their feet hip-width apart and engage their core to avoid arching their lower back.","1. Stand with your feet hip-width apart and parallel to each other, with your weight evenly distributed on both feet. 2. Lengthen your spine, feeling the crown of the head and the heels grounding downwards. 3. Engage your core and feel the pelvic floor lifting upwards. 4. Relax your shoulders and chest, keeping the chest expanded and the shoulders down. 5. Gaze forward, keeping the chin parallel to the ground and the eyes soft."
2,Downward-Facing Dog,Adho Mukha Svanasana,standing,beginner,"Downward-Facing Dog (Adho Mukha Svanasana) stretches the hamstrings, calves, and spine, improving flexibility and balance. It can also help relieve stress and anxiety, promoting a sense of calm and relaxation. Additionally, this pose can strengthen the arms, shoulders, and core muscles.","Avoid this pose if you have high blood pressure, shoulder or neck injuries, or are experiencing menstrual cramps. It's also not recommended for pregnant women, especially in the later stages.","Inhale as you bend forward, lengthening the spine, and exhale as you straighten your arms and lift your hips up and back, straightening the body.","Hold the pose for 3-5 breaths, or 30-60 seconds, and repeat 2-3 times.","For beginners or those with flexibility limitations, use a block under the hands or a strap around the hips to deepen the stretch. You can also bend your knees slightly to reduce the pressure on your hamstrings and calves.","1. Start on all fours (tabletop position) with your hands shoulder-width apart and your knees directly under your hips. 2. As you inhale, lift your hips up and back, straightening your arms and keeping your palms and heels grounded. 3. Keep your head in a neutral position, with your ears in line with your arms, and engage your core muscles to support your body. 4. Lengthen your spine and stretch your chest forward, keeping your body in an inverted V-shape. 5. Hold the pose, breathing deeply, and then exhale as you slowly lower back down to the starting position."
3,Warrior Pose,Virabhadrasana,standing,beginner,"Warrior Pose strengthens the legs, hips, and core, improving balance and stability. It also stretches the chest, shoulders, and hips, promoting flexibility and range of motion. Additionally, it can help to build confidence and inner strength, cultivating a sense of courage and determination.","Avoid Warrior Pose if you have any injuries or conditions affecting the knees, hips, or ankles, such as severe knee or hip pain, osteoporosis, or recent surgeries. Also, avoid the pose if you are experiencing any dizziness or lightheadedness.","Inhale deeply as you step your right foot forward and turn your back foot slightly inward, exhale as you bend your front knee and stretch your arms out to the sides, inhale as you lengthen your spine and engage your core, and exhale as you gaze forward and settle into the pose.","Hold Warrior Pose for 3-5 breaths on each side, repeating the sequence 2-3 times on each side.","For a modified version, you can shorten the stride between your feet or keep your back heel on the ground. You can also use a block or strap to support your front leg or maintain proper alignment. For a more challenging variation, you can deepen the bend in your front knee or lift your back heel off the ground.","Step 1: Stand with your feet wide apart, with one foot facing forward and the other foot at a 90-degree angle. Step 2: Bend your front knee over your ankle, keeping your thigh parallel to the ground, and stretch your arms out to the sides at shoulder height. Step 3: Engage your core, lengthen your spine, and gaze forward, keeping your back leg straight and your back foot grounded. Step 4: Check your alignment and make any necessary adjustments to maintain balance and stability. Step 5: Hold the pose, feeling strong and confident, and then repeat on the other side."
4,Triangle Pose,Trikonasana,standing,beginner,"Triangle Pose (Trikonasana) offers a range of physical benefits, including stretching the hips, thighs, and spine. It can also help improve flexibility, balance, and posture. Additionally, this pose can calm the mind, reduce stress, and promote a sense of grounding and stability. ","Avoid this pose if you have a severe neck or hip injury, sciatica, or high blood pressure. Pregnant women should modify the pose by taking a wider stance and avoiding deep twists.","Inhale: Lengthen the spine and reach the arms up. Exhale: Fold the torso to the right, sliding the right hand down the leg towards the ankle, and extend the left arm up towards the ceiling. Repeat on the other side.","Hold the pose for 30 seconds to 1 minute on each side, breathing deeply and smoothly.","For beginners or those with flexibility limitations, use a block or strap to support the hand on the leg. Alternatively, bend the knee of the front leg to reduce the depth of the stretch. For a more intense stretch, extend the back leg and engage the core muscles.","1. Stand with your feet wide apart, with one foot facing forward and the other foot at a 90-degree angle. 2. Reach one arm up towards the ceiling, and slide the other hand down the leg towards the ankle, keeping the spine long and the hips open. 3. Extend the top arm, and gaze up towards the ceiling, feeling the stretch in the hips, thighs, and spine. 4. Repeat on the other side, switching the position of the feet and arms."
5,Tree Pose,Vrksasana,standing,beginner,"Tree Pose (Vrksasana) helps improve balance, stability, and focus. It also strengthens the ankles, calves, and spine, while stretching the hips and chest. Regular practice of this pose can also reduce stress and anxiety by promoting feelings of calmness and grounding.","Avoid practicing Tree Pose if you have severe ankle or knee injuries, or if you experience dizziness or lightheadedness. It's also recommended to modify or avoid this pose during pregnancy or menstruation if you feel any discomfort or instability.","Inhale: Lengthen the spine and engage the core, feeling the ground beneath your feet. Exhale: Slowly lift the arms overhead, keeping them parallel to each other, and gaze forward.","Hold the pose for 30 seconds to 1 minute, breathing naturally. You can practice 2-3 repetitions on each leg, switching sides and repeating the process.","For beginners, you can start by practicing Tree Pose with your back against a wall for support, or use a block or a chair to help with balance. You can also lift the heel of the standing foot instead of balancing on the ball of the foot, or practice with your eyes closed for an added challenge.","1. Stand on one leg, with the other foot resting on the inner thigh, just above the knee. 2. Engage your core, lengthen your spine, and lift your arms overhead, keeping them parallel to each other. 3. Gaze forward, focusing on a point in front of you, and balance on one leg, feeling the ground beneath your foot."
6,Eagle Pose,Garudasana,standing,beginner,"Eagle Pose (Garudasana) offers numerous physical benefits, including stretching and strengthening the hips, thighs, and ankles, while also improving balance and focus. Mentally, it can help reduce stress and anxiety by promoting a sense of calm and centeredness. Additionally, it can improve circulation and reduce inflammation in the legs.",Individuals with severe knee injuries or recent surgeries should avoid this pose. Those with sciatica or severe lower back issues should also exercise caution and modify the pose as needed.,"Inhale deeply and lengthen the spine, then exhale as you bend the knees and wrap the legs. Hold the pose and breathe naturally, inhaling and exhaling slowly and smoothly.","Hold the pose for 3-5 breaths, then release and repeat on the other side. For beginners, start with shorter holds and gradually increase the duration as you build balance and endurance.","For a modified version, try wrapping one leg over the other without bending the knees, or use a block or strap to support the wrapped leg. For added support, practice the pose with your back against a wall.","1. Stand with your feet hip-width apart and parallel to each other. Engage your core and lengthen your spine. 2. Bend your knees slightly and cross your right thigh over your left, wrapping your legs around each other. 3. Extend your arms out to the sides and cross your right arm over your left, wrapping them around each other in a similar manner to your legs. 4. Gaze forward and focus on a point in front of you, maintaining balance and poise. 5. Hold the pose and breathe, feeling the stretch in your hips and legs."
7,Seated Forward Fold,Paschimottanasana,seated,beginner,"Seated Forward Fold stretches the hamstrings, calves, and spine, relieving tension and stress. It also calms the mind and promotes relaxation, reducing anxiety and fatigue. Additionally, it can help improve flexibility and balance.","Avoid this pose if you have severe back injuries, herniated disks, or are experiencing sciatica or severe knee problems. Pregnant women should also approach with caution and modify the pose as needed.","Inhale deeply, lengthening the spine, and exhale slowly, folding forward and releasing any tension. Continue to breathe naturally, feeling the stretch in the back and legs.","Hold the pose for 3-5 breaths, or up to 30 seconds, and repeat 2-3 times as needed.","For beginners or those with tight hamstrings, use a strap or towel to deepen the stretch without straining. You can also bend your knees slightly or place your hands on blocks for support. For a more intense stretch, engage your core and reach for your toes or shins.","1. Sit on the floor with your legs extended in front of you, feet hip-width apart and engaged. Lengthen your spine and engage your core. 2. Inhale deeply, and as you exhale, slowly fold forward, reaching for your toes or shins. Keep your knees slightly bent if necessary. 3. Allow your head to release and your arms to dangle, feeling the stretch in your back and legs. 4. Hold the pose, breathing naturally, and slowly lift back up to seated position on an inhale."
8,Seated Twist,Bharadvajasana,seated,beginner,"Seated Twist (Bharadvajasana) provides physical benefits by increasing spinal flexibility, stretching the torso, and relieving tension in the neck and shoulders. Mentally, this pose can help calm the mind, reduce stress, and promote relaxation. Regular practice can also improve digestion and reduce symptoms of sciatica.","Avoid this pose if you have any recent injuries or surgeries in the neck, shoulders, or spine, or if you experience severe back pain or discomfort. Additionally, pregnant women should modify the twist to avoid putting pressure on the abdomen.","Inhale: Lengthen the spine and sit up tall. Exhale: Twist to the right, keeping the hips facing forward. Inhale: Return to center. Exhale: Twist to the left. Repeat.","Hold each twist for 3-5 breaths, then return to center. Repeat on the other side. Practice 2-3 repetitions on each side.","For beginners or those with limited flexibility, you can modify the twist by placing your right hand on the outside of your left knee and gently pulling your knee towards your chest. Alternatively, you can use a block or strap to support your spine or deepen the twist.","1. Sit on the floor with your legs crossed, right leg over left. Lengthen your spine and sit up tall, engaging your core. 2. Inhale and lengthen your spine further. Exhale and twist to the right, keeping your hips facing forward. Place your right hand on the outside of your left knee and gently pull your knee towards your chest. 3. Look over your right shoulder, keeping your chin parallel to the ground. 4. Hold for 3-5 breaths, then return to center. Repeat on the other side."
9,Seated Spinal Twist,Bharadvajasana II,seated,beginner,"Seated Spinal Twist (Bharadvajasana II) provides physical benefits by stretching the spine, hips, and torso, while also improving flexibility and posture. This pose can also help to relieve stress and promote relaxation, offering mental benefits such as reduced anxiety and improved focus. Regular practice can also improve digestion and relieve lower back pain.","Avoid practicing Seated Spinal Twist if you have any severe spinal injuries, recent surgeries, or chronic conditions such as herniated discs or osteoporosis. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale deeply, lengthening the spine, and exhale slowly as you twist to the right (or left). Inhale again, maintaining the twist, and exhale as you release and return to center.","Hold the twist for 3-5 breaths on each side, repeating the sequence 2-3 times.","For a more accessible version, use a block or strap to support your hand or arm, or place your hand on your knee instead of your ankle. You can also practice a gentle twist by only turning your torso and keeping your hips facing forward.","1. Sit on the floor with your legs crossed, right leg on top of the left, and your back straight. 2. Lengthen your spine and inhale deeply, then exhale and twist your torso to the right, bringing your right hand to your left ankle or knee. 3. Place your left hand on the outside of your right knee, gently deepening the twist, and look over your right shoulder. 4. Hold the twist, maintaining a steady breath, and then slowly release and return to center, repeating on the other side."
10,Seated Hero Pose,Virasana,seated,beginner,"Seated Hero Pose (Virasana) stretches the quadriceps, hip flexors, and shins, while also strengthening the back muscles. It can help improve flexibility, balance, and overall posture. Additionally, it promotes relaxation and reduces stress by calming the mind and soothing the nervous system.","Avoid Seated Hero Pose if you have knee injuries, knee surgery, or severe knee pain. It is also not recommended for people with severe ankle or foot problems.","Inhale deeply, feeling the chest expand and the spine lengthen. Exhale slowly, releasing any tension in the body and sinking deeper into the pose.","Hold the pose for 30 seconds to 1 minute, breathing deeply and smoothly. Repeat 2-3 times, taking breaks in between if needed.","For beginners or those with knee issues, you can modify the pose by placing a block or a folded blanket under the buttocks for support. Alternatively, you can also place a strap or a towel around the back of the knees to help deepen the stretch.","1. Kneel on the mat with your knees slightly apart, keeping your weight evenly distributed on both knees. 2. Slowly lower your buttocks down towards the ground, keeping your back straight and your core engaged. 3. Place your hands on your thighs or knees, feeling the stretch in your quadriceps and hip flexors. 4. Lengthen your spine and engage your core, feeling a sense of balance and stability in the pose. 5. Breathe deeply and smoothly, holding the pose for the desired duration."
