id,pose_name,sanskrit_name,category,difficulty_level,benefits,contraindications,breathing_pattern,duration_or_reps,modifications,instructions
1,Mountain Pose,Tadasana,standing,beginner,"Mountain Pose strengthens the ankles, calves, and spine, improving overall posture and balance. It also helps establish good alignment and promotes mental clarity and focus. Regular practice of Tadasana can reduce stress and anxiety.","Avoid practicing Mountain Pose if you have severe ankle or knee injuries, or if you experience dizziness or lightheadedness. People with severe back problems should also consult with a healthcare professional before practicing this pose.","Inhale: Feel the chest expand and the spine lengthen. Exhale: Engage the core and maintain good posture, feeling grounded and stable.","Hold Mountain Pose for 3-5 breaths, or as long as you feel comfortable and focused. Repeat as needed, using this pose as a transitional or foundational stance.","For beginners, use a block or a wall for support and balance. If you have any knee or ankle issues, practice with a wider stance or use a strap to support the knees. For pregnant women, practice with a wider stance and avoid deep breathing.","1. Stand with your feet hip-width apart, parallel to each other, and facing forward. 2. Engage your core, feel the weight evenly distributed on both feet, and lengthen the spine. 3. Reach your arms up towards the ceiling, palms facing forward, and engage your shoulders down and away from the ears. 4. Keep your head in a neutral position, with your ears in line with your shoulders, and gaze forward."
2,Tree Pose,Vrksasana,balancing,beginner,"Tree Pose (Vrksasana) improves balance, stability, and focus. It strengthens the ankles and calves, while also stretching the spine and hips. Regular practice can also help reduce stress and anxiety by promoting mental clarity and calmness.","Avoid Tree Pose if you have ankle or knee injuries, or if you experience dizziness or lightheadedness. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale deeply and lengthen your spine, exhale slowly and engage your core. Continue to breathe naturally and smoothly, maintaining a steady rhythm.","Hold Tree Pose for 30 seconds to 1 minute on each leg, or for 3-5 breaths if you're just starting out. Repeat on the other side and gradually increase the duration as you build balance and confidence.","Use a block or wall for support if you're new to balancing poses. You can also practice Tree Pose with your back against a wall or with a strap around your ankle for added stability. For a more challenging variation, try closing your eyes or lifting your arms overhead.","1. Start by standing on one leg, with the other foot resting against your inner thigh. Engage your core and lift your arms to your hips or overhead. 2. Lengthen your spine and gaze forward, keeping your weight evenly distributed on your standing leg. 3. Press your standing foot into the ground and feel the connection to the earth, maintaining balance and poise. 4. Hold the pose, breathing smoothly and naturally, before slowly releasing and switching legs."
3,Downward-Facing Dog,Adho Mukha Svanasana,standing,beginner,"Downward-Facing Dog stretches and strengthens the entire back side of the body, from the shoulders to the heels, while also improving flexibility and balance. It can also help to calm the mind and reduce stress. Regular practice can also improve circulation and boost energy levels.","Avoid this pose if you have recent injuries to the shoulders, wrists, or ankles, or if you have conditions such as carpal tunnel syndrome or osteoporosis. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale as you lift your hips up and back, exhale as you lengthen your spine and engage your core.","Hold for 3-5 breaths, or for 30-60 seconds. Repeat 2-3 times.","For beginners or those with wrist issues, try using blocks or a strap to support the hands. For those with shoulder or back issues, try bending the knees slightly or keeping the elbows slightly bent. Pregnant women can modify by keeping the knees slightly bent and the hips lifted only slightly.","1. Start on all fours, with your hands shoulder-width apart and your knees directly under your hips. 2. Walk your hands forward a few inches and lift your hips up and back, straightening your arms and legs as much as possible. 3. Keep your palms and heels grounded, engage your core, and stretch your chest forward, keeping your head in a neutral position. 4. Lengthen your spine and stretch your entire back side of the body, from the shoulders to the heels."
4,Cobra Pose,Bhujangasana,backbend,beginner,"Cobra Pose strengthens the back muscles, opens the chest, and improves flexibility in the shoulders and upper back. It also helps to relieve stress and anxiety, promoting a sense of calm and relaxation. Regular practice of this pose can also improve breathing capacity and reduce fatigue.","Avoid Cobra Pose if you have a recent back injury, herniated disk, or any serious spinal condition. It's also not recommended for pregnant women, especially in the later stages.","Inhale as you press your palms into the ground and lift your chest and head off the mat, keeping your shoulders down and away from your ears. Exhale as you slowly lower back down to the starting position.","Hold Cobra Pose for 3-5 breaths, or 15-30 seconds, and repeat for 2-3 repetitions.","For a gentler variation, place your forearms on the ground instead of your palms, or use blocks under your hands for extra support. You can also practice a 'baby cobra' by lifting only your head and shoulders off the mat, keeping your chest and upper back on the ground.","1. Lie on your stomach with your hands under your shoulders and your fingers spread wide. Engage your core and feel the ground beneath you. 2. Inhale and press your palms into the ground, lifting your chest and head off the mat. Keep your shoulders down and away from your ears, and engage your upper back muscles. 3. Continue to lift and expand your chest, keeping your neck long and your gaze forward. 4. Hold for 3-5 breaths, feeling the opening in your chest and the strengthening in your back muscles."
5,Cat-Cow Pose,Marjaryasana-Bitilasana,standing,beginner,"The Cat-Cow Pose stretches the spine, neck, and torso, while also improving flexibility and reducing tension. This pose can also help to warm up the body and prepare it for more dynamic movements. Additionally, it can help to calm the mind and promote relaxation.","This pose is generally safe for most people, but those with severe neck injuries or cervical spine problems should avoid it or modify it with caution. Pregnant women should also be cautious and avoid deep arching.","Inhale as you arch your back and lift your head and tailbone (Cow Pose), exhale as you round your back and tuck your chin to your chest (Cat Pose).","Repeat the sequence for 5-10 breaths, moving slowly and smoothly between the Cat and Cow poses.","For a more gentle version, try using a block or strap to support your neck and spine. You can also modify the pose by keeping your knees slightly bent or by using a wall for support.","1. Start on your hands and knees, with your wrists directly under your shoulders and your knees directly under your hips. 2. As you inhale, arch your back and lift your head and tailbone towards the ceiling (Cow Pose). 3. As you exhale, round your back and tuck your chin to your chest, allowing your head and tailbone to drop towards the floor (Cat Pose). 4. Continue to move slowly and smoothly between the Cat and Cow poses, repeating the sequence for 5-10 breaths."
6,Warrior Pose I,Virabhadrasana I,standing,beginner,"Warrior Pose I strengthens the legs, hips, and core, while also stretching the chest and shoulders. It also helps to improve balance, focus, and concentration. Regular practice of this pose can also boost confidence and sense of empowerment.","Avoid Warrior Pose I if you have knee injuries, hip replacements, or chronic back pain. It is also recommended to modify the pose during menstruation or during pregnancy.","Inhale and lengthen the spine, exhale and bend into the front knee. Continue to breathe deeply, feeling the strength and power in the legs and core.","Hold Warrior Pose I for 5-10 breaths, then switch sides and repeat. Practice 2-3 sets on each side.","For beginners or those with knee issues, place a block under the front foot or modify the depth of the bend. You can also use a wall for support or shorten the stride between the feet. For a more restorative version, use a block or strap to support the back leg.","Step 1: Stand with your feet wide apart, with one foot facing forward and the other foot at a 90-degree angle. Step 2: Bend the front knee over the ankle, keeping the back leg straight and engaged. Step 3: Lengthen the spine and reach the arms up towards the ceiling, gazing forward and down slightly. Step 4: Engage the core and feel the strength and power in the legs and hips."
7,Triangle Pose,Trikonasana,standing,beginner,"Triangle Pose (Trikonasana) is a foundational standing pose that offers numerous physical and mental benefits. Physically, it stretches the hips, thighs, and spine, while strengthening the core and improving balance. Mentally, it cultivates focus, confidence, and a sense of grounding and stability.","Avoid Triangle Pose if you have any severe back or neck injuries, or if you are experiencing symptoms of sciatica or herniated discs. Pregnant women should also practice with caution and modify the pose as needed.","Inhale as you reach your arms up and lengthen your spine, exhale as you fold to the right and slide your right hand down your leg.","Hold the pose for 30 seconds to 1 minute on each side, breathing deeply and smoothly.","For a more accessible version, use a block or strap to support your hand on the leg. You can also bend your front knee slightly or use a wall for balance support. For a deeper stretch, try reaching your top arm up towards the ceiling or sliding your bottom hand down your leg further.","1. Stand with your feet wide apart, with one foot facing forward and the other foot at a 90-degree angle. Reach your arms up towards the ceiling, parallel to each other. 2. Exhale and fold to the right, sliding your right hand down your leg towards the ankle. Stretch your spine and reach your left arm up towards the ceiling. 3. Keep your hips open and your spine long, gazing forward or up towards your top hand. 4. Repeat on the other side."
8,Seated Spinal Twist,Bharadvajasana,twist,beginner,"Seated Spinal Twist (Bharadvajasana) is a beginner-friendly pose that offers various physical and mental benefits. Physically, it helps to stretch and mobilize the spine, hips, and torso, improving flexibility and reducing tension. Mentally, this pose can help calm the mind, reduce stress, and promote a sense of clarity and focus.","Avoid practicing Seated Spinal Twist if you have severe back problems, such as herniated disks or spinal injuries, or if you have recently experienced a neck or spine injury. Pregnant women should also practice with caution and modify the pose to avoid putting pressure on the abdomen.","Inhale as you lengthen your spine and prepare for the twist. Exhale as you twist to the right (or left), keeping your hips facing forward. Inhale to return to the center, and exhale to release any tension.","Hold the Seated Spinal Twist for 3-5 breaths on each side, repeating the sequence 2-3 times.","For a more accessible version, place a block or strap under your knee or use a wall for support. You can also practice a gentle twist by turning only your torso, keeping your hips facing forward. For a deeper stretch, place your right hand on the outside of your left knee or vice versa.","1. Sit on the floor with your legs crossed, with your right leg on top of your left. Lengthen your spine and engage your core. 2. Place your right hand on the outside of your left knee, and gently twist your torso to the right, keeping your hips facing forward. 3. Keep your left hand on the floor beside you for support, and gaze over your right shoulder. 4. As you inhale, lengthen your spine, and as you exhale, deepen the twist. 5. Repeat on the other side by crossing your legs the opposite way and twisting to the left."
9,Bridge Pose,Setu Bandha Sarvangasana,backbend,beginner,"Bridge Pose strengthens the back muscles, opens the chest, and improves spinal flexibility, while also reducing stress and anxiety by releasing tension in the neck and shoulders. It also stimulates the thyroid gland and can help alleviate symptoms of menopause. Regular practice can also improve overall posture.","Avoid Bridge Pose if you have a neck injury or condition, such as a herniated disk or osteoporosis, as it may put pressure on the neck. It's also not recommended during pregnancy or menstruation.","Inhale as you lift your hips, exhale as you lower them back down. Take slow, deep breaths while holding the pose.","Hold the pose for 3-5 breaths, repeat for 3-5 repetitions.","For a gentler variation, place a block or strap under your hips for support. You can also use a wall for support, with your feet a few inches away from the wall. If you have tight shoulders or chest, try placing a block or strap under your upper back for a more comfortable stretch.","1. Lie on your back with your knees bent and feet hip-width apart, arms at your sides. 2. Inhale and lift your hips, squeezing your glutes and lower back muscles as you lift. 3. Hold the pose, keeping your shoulders and chest open, and engage your core muscles to support your lift. 4. Exhale and slowly lower your hips back down to the starting position."
10,Plank Pose,Phalakasana,standing,beginner,"Plank Pose (Phalakasana) strengthens the arms, shoulders, and core muscles, improving overall physical stability and endurance. It also helps to engage the mind and promote focus, concentration, and mental clarity. Regular practice of Phalakasana can also improve posture and reduce back pain.","Avoid Plank Pose if you have any wrist or shoulder injuries, or if you experience any discomfort or pain in these areas. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale: Engage your core and straighten your arms, feeling the expansion in your chest. Exhale: Maintain a straight line from head to heels, feeling the length and stability in your body.","Hold Plank Pose for 3-5 breaths, or 30-60 seconds, and repeat for 2-3 sets.","For a modified version, drop your knees to the ground, reducing the pressure on your wrists and shoulders. You can also use a block or strap to support your wrists or deepen the stretch. For those with shoulder injuries, try using a wall for support or substituting with a tabletop position on your hands and knees.","1. Start in a high push-up position with your hands shoulder-width apart and your arms straight. 2. Engage your core muscles by drawing your navel towards your spine, and straighten your arms and legs. 3. Keep your body in a straight line from head to heels, feeling the length and stability in your body. 4. Look down slightly, keeping your neck long and your shoulders relaxed."
